Age,Total Salary (IDR),Total Spending (IDR),Frequency (Yearly),Membership Status
26,199512824,33058318,38,Silver
22,62700198,16709332,56,Platinum
40,69997972,37973439,46,Gold
50,173505245,70738589,26,Gold
55,88667694,71184465,39,Gold
31,193541362,96130562,46,Gold
34,112953135,44182333,18,Platinum
36,101828708,46536331,57,Silver
50,99148802,83495540,57,Silver
18,50605599,61014693,31,Silver
30,126425378,59179195,43,Gold
63,191114253,47770533,49,Platinum
44,94970156,51792871,51,Silver
23,131908711,77049102,43,Platinum
23,192767890,23343855,37,Silver
50,183054527,72090981,50,Gold
47,83733732,87880464,31,Silver
63,53753281,23633512,29,Gold
52,159765065,10661944,26,Gold
40,99034818,54198308,33,Silver
27,129562444,40141755,33,Platinum
68,51190866,56404773,32,Gold
36,142887217,64982283,13,Platinum
68,74299863,90485578,51,Silver
45,54498448,26795119,54,Gold
40,89352521,92476787,29,Platinum
21,183006273,72750320,34,Gold
37,80759595,84209747,24,Silver
36,83716118,45215673,52,Gold
59,55959429,23832962,20,Silver
44,189138935,20892542,18,Platinum
51,137969826,76884542,52,Gold
21,182072816,75505013,12,Platinum
55,167400326,23026796,13,Silver
24,73449820,39993782,15,Silver
65,106334388,63016941,25,Platinum
24,187248676,66776509,43,Platinum
67,98524640,19846358,47,Silver
69,122591435,99705690,13,Platinum
43,99848270,55319523,51,Silver
43,133531892,52477003,25,Platinum
36,50810713,23721078,31,Silver
26,81986409,57556634,36,Silver
37,166489140,72454561,53,Gold
59,84663163,96000416,19,Silver
62,121621625,42138462,39,Silver
67,70440897,20941279,57,Gold
33,137815685,47932455,32,Gold
34,158901448,99125602,34,Platinum
39,71490505,22383582,43,Platinum
30,103902842,24801310,19,Silver
29,186559706,62768549,42,Platinum
27,120508448,75841580,48,Platinum
18,130455483,85647880,27,Silver
49,126017109,38126600,51,Gold
47,190237404,64487742,53,Gold
25,115437138,82340172,38,Silver
38,126529490,16638111,51,Silver
39,114786885,31505473,52,Silver
35,95416428,17169165,29,Silver
19,105629132,76787621,46,Silver
65,155366010,29292769,26,Silver
61,199951257,55164679,38,Platinum
26,149426324,36307043,28,Platinum
20,125023735,60508330,51,Platinum
43,117767425,43212023,13,Gold
38,95325998,63241067,42,Silver
47,106859243,20187823,48,Silver
45,76847645,35262277,52,Platinum
53,155996058,58207955,52,Gold
43,81757382,25412384,45,Platinum
51,120522417,26524715,45,Silver
25,106725086,93249671,14,Silver
27,85698454,25165384,28,Platinum
65,196666892,52351489,25,Platinum
60,152973776,46120868,25,Silver
67,102233859,49672745,57,Platinum
31,52256376,30599595,49,Silver
57,81645971,63781968,46,Platinum
32,138662907,46599668,12,Gold
34,156730498,98696357,59,Silver
35,106188889,36628962,40,Gold
49,156754009,22164078,15,Platinum
55,77676846,72392038,44,Gold
40,84795394,66364509,28,Platinum
